block	bin_strength	trigger_fix	prime	trigger_prime	aux	trigger_aux	target	trigger_target	post	trigger_post	strength	probe	probe_answer
0	0	0	This	1	is	2	a	3	sentence.	4	0	Question: This is a sentence.	2
0	0	0	Practice	1	is	2	very	3	important.	4	0	Question: This is a sentence.	2
1	1	24	Acrobats	25	can	26	flip	27	high.	28	0.097	Question: ACROBATS are inanimate.	1
1	1	24	Alarms	25	can	26	awake	27	people.	28	0.061	Question: ALARMS are inanimate.	2
1	1	24	Ants	25	can	26	bite	27	people.	28	0.034	Question: ANTS are inanimate.	1
1	1	24	Artists	25	can	26	create	27	everything.	28	0.041	Question: ARTISTS are inanimate.	1
1	1	24	Balloons	25	can	26	pop	27	abruptly.	28	0.209	Question: BALLOONS are inanimate.	2
1	1	24	Bats	25	can	26	fly	27	blindly.	28	0.063	Question: BATS are inanimate.	1
1	1	24	Birds	25	can	26	fly	27	sweetly.	28	0.32	Question: BIRDS are inanimate.	1
1	1	24	Boxers	25	can	26	fight	27	hard.	28	0.092	Question: BOXERS are inanimate.	1
1	1	24	Bugs	25	can	26	fly	27	easily.	28	0.06	Question: BUGS are inanimate.	1
1	1	24	Cars	25	can	26	drive	27	far.	28	0.122	Question: CARS are inanimate.	2
1	1	24	Clamps	25	can	26	hold	27	tight.	28	0.124	Question: CLAMPS are inanimate.	2
1	1	24	Cooks	25	can	26	bake	27	food.	28	0.079	Question: COOKS are inanimate.	1
1	1	24	Ducks	25	can	26	quack	27	peacefully.	28	0.233	Question: DUCKS are inanimate.	1
1	1	24	Ears	25	can	26	hear	27	immensely.	28	0.261	Question: EARS are inanimate.	1
1	1	24	Engines	25	can	26	run	27	loudly.	28	0.065	Question: ENGINES are inanimate.	2
1	1	24	Farmers	25	can	26	plow	27	fields.	28	0.025	Question: FARMERS are inanimate.	1
1	1	24	Fish	25	can	26	swim	27	quickly.	28	0.091	Question: FISH are inanimate.	1
1	1	24	Grasshoppers	25	can	26	hop	27	high.	28	0.065	Question: GRASSHOPPERS are inanimate.	1
1	1	24	Guides	25	can	26	lead	27	confidently.	28	0.183	Question: GUIDES are inanimate.	1
1	1	24	Heads	25	can	26	ache	27	quickly.	28	0.082	Question: HEADS are inanimate.	1
1	1	24	Helicopters	25	can	26	fly	27	suddenly.	28	0.184	Question: HELICOPTERS are inanimate.	2
1	1	24	Inventors	25	can	26	make	27	unconsciously.	28	0.034	Question: INVENTORS are inanimate.	1
1	1	24	Kangaroos	25	can	26	jump	27	high.	28	0.136	Question: KANGAROOS are inanimate.	1
